preprevword,prevword,word,nextword,nextnextword,preprevtag,prevtag,nexttag,nextnexttag,prevtags,nexttags,class
держать,в,руках,третий,стакан,V,S,ANUM,S,V-S,ANUM-S,конечность
упасть,на,руки,на,лоб,V,PR,PR,S,V-PR,PR-S,конечность
мыло,из,рук,.,.,S,PR,.,.,S-PR,.-.,конечность
взять,в,руки,длинный,шест,V,S,A,S,V-S,A-S,конечность
ксеня,махнуть,рукой,на,петр,S,V,PR,S,S-V,PR-S,конечность
глубина,ведро,рука,по,локоть,S,S,PR,S,S-S,PR-S,конечность
петрович,отдергивать,руку,но,поздно,S,V,CONJ,ADV,S-V,CONJ-ADV,конечность
труд,скользнуть,рукой,в,вода,S,V,S,S,S-V,S-S,конечность
взять,в,руки,мой,финка,V,S,APRO,S,V-S,APRO-S,конечность
давить,левый,рукой,на,бас,V,A,PR,S,V-A,PR-S,конечность
только,четыре,руки,а,коробок,PART,NUM,PART,S,PART-NUM,PART-S,конечность
он,левый,рукой,со,слово,SPRO,A,PR,S,SPRO-A,PR-S,конечность
ты,махнуть,рукой,прабабушка,я,SPRO,V,S,SPRO,SPRO-V,S-SPRO,конечность
лизать,вы,руку,она,язык,V,SPRO,SPRO,S,V-SPRO,SPRO-S,конечность
нога,без,рук,.,.,S,PR,.,.,S-PR,.-.,конечность
сердито,замахать,руками,билетерша,как,ADV,V,S,ADVPRO,ADV-V,S-ADVPRO,конечность
лира,в,руках,.,.,S,S,.,.,S-S,.-.,конечность
голова,ни,рук,стоять,на,S,PART,V,PR,S-PART,V-PR,конечность
по-прежнему,брать,руками,.,.,ADV,V,.,.,ADV-V,.-.,конечность
себя,в,руки,взять,себя,SPRO,S,V,SPRO,SPRO-S,V-SPRO,власть
головня,в,руках,хотя,страшно,S,S,PART,ADV,S-S,PART-ADV,конечность
сам,дело,рук,свой,.,APRO,S,APRO,.,APRO-S,APRO-.,орудие
глаз,страшиться,руки,делать,пугливый,S,V,V,A,S-V,V-A,конечность
держать,в,руке,зажигать,свеча,V,S,V,S,V-S,V-S,конечность
разводить,он,руками,.,.,V,SPRO,.,.,V-SPRO,.-.,конечность
глаз,восемь,рук,как,звать,S,NUM,ADVPRO,V,S-NUM,ADVPRO-V,конечность
трогать,они,руками,.,.,V,SPRO,.,.,V-SPRO,.-.,конечность
он,разводить,руки,до,отказ,SPRO,V,PR,S,SPRO-V,PR-S,конечность
средний,нажатие,рукой,.,.,A,S,.,.,A-S,.-.,конечность
взяться,два,руками,рис,5,V,NUM,S,5,V-NUM,S-5,конечность
держаться,за,руки,и,он,V,PR,CONJ,SPRO,V-PR,CONJ-SPRO,конечность
придерживать,один,рукой,конусный,фильтр,V,APRO,A,S,V-APRO,A-S,конечность
уже,к,рукам,прибирать,.,ADV,S,V,.,ADV-S,V-.,владение
на,шурдин,рукой,подавать,а,PR,S,V,PART,PR-S,V-PART,недалеко
лена,жать,руку,и,в,S,V,CONJ,S,S-V,CONJ-S,конечность
колючий,проволока,руками,.,.,A,S,.,.,A-S,.-.,конечность
который,жесткий,рукой,наводить,порядок,APRO,A,V,S,APRO-A,V-S,сила_власть
россия,в,руках,у,японец,S,S,PR,S,S-S,PR-S,владение
брать,на,руки,ребенок,вынуждать,V,PR,S,V,V-PR,S-V,конечность
они,с,рук,если,бы,SPRO,S,CONJ,PART,SPRO-S,CONJ-PART,орудие
девушка,на,руках,.,.,S,PR,.,.,S-PR,.-.,конечность
на,все,руки,.,.,PR,SPRO,.,.,PR-SPRO,.-.,орудие
только,разводить,руками,когда,я,PART,V,ADVPRO,SPRO,PART-V,ADVPRO-SPRO,конечность
находиться,на,руках,у,иностранец,V,PR,PR,S,V-PR,PR-S,владение
в,свой,руки,но,премьера,S,APRO,CONJ,S,S-APRO,CONJ-S,власть
переходить,в,руки,ориентировать,на,V,S,V,PR,V-S,V-PR,власть
переходить,в,руки,исламистский,движение,V,S,A,S,V-S,A-S,власть
в,они,руки,случайно,.,S,SPRO,ADV,.,S-SPRO,ADV-.,владение
создание,человеческий,рук,быть,вечный,S,A,V,A,S-A,V-A,орудие
прут,в,руках,.,.,S,S,.,.,S-S,.-.,конечность
бы,нетаньяху,руки,для,решительный,PART,S,PR,A,PART-S,PR-A,орудие
аргумент,в,руки,правительство,давать,S,S,S,V,S-S,S-V,владение
мы,на,руку,.,.,SPRO,PR,.,.,SPRO-PR,.-.,очередь
в,свой,руках,решение,все,S,APRO,S,SPRO,S-APRO,S-SPRO,власть
мужчина,в,руку,и,на,S,S,CONJ,PR,S-S,CONJ-PR,конечность
движение,ни,руками,ни,бедро,S,PART,PART,S,S-PART,PART-S,конечность
и,положе,руку,на,сердце,CONJ,A,PR,S,CONJ-A,PR-S,конечность
роман,он,рук,дело,.,S,SPRO,S,.,S-SPRO,S-.,орудие
сустав,а,руки,жутко,заныть,S,PART,ADV,V,S-PART,ADV-V,конечность
оборотень,другой,руки,другой,походка,S,APRO,APRO,S,S-APRO,APRO-S,конечность
взять,в,руки,кисточка,и,V,S,S,CONJ,V-S,S-CONJ,конечность
что,отсюда,рукой,подавать,до,SPRO,ADVPRO,V,PR,SPRO-ADVPRO,V-PR,недалеко
вы,под,руками,быть,низкокалорийный,SPRO,PR,V,A,SPRO-PR,V-A,недалеко
даже,ваш,руки,ведь,если,PART,APRO,PART,CONJ,PART-APRO,PART-CONJ,конечность
пытаться,быть,руками,и,до,V,V,CONJ,PR,V-V,CONJ-PR,конечность
в,мой,руки,веселый,солдат,S,APRO,A,S,S-APRO,A-S,владение
второй,уже,рука,не,потянуться,ANUM,ADV,PART,V,ANUM-ADV,PART-V,конечность
снимать,с,руки,и,будто,V,S,CONJ,PART,V-S,CONJ-PART,конечность
и,заботливый,руки,косметолог,.,CONJ,A,S,.,CONJ-A,S-.,конечность
придерживать,он,рукой,выходить,в,V,SPRO,V,S,V-SPRO,V-S,конечность
они,протягивать,руку,ко,я,SPRO,V,PR,SPRO,SPRO-V,PR-SPRO,конечность
идти,в,руки,и,можно,V,S,CONJ,ADV,V-S,CONJ-ADV,владение
становиться,на,руках,носить,туда,V,PR,V,ADVPRO,V-PR,V-ADVPRO,конечность
на,такси,рукой,подавать,.,PR,S,V,.,PR-S,V-.,недалеко
палец,на,руке,возлюбленная,и,S,PR,S,CONJ,S-PR,S-CONJ,конечность
в,свой,руках,более,30,S,APRO,ADV,30,S-APRO,ADV-30,власть
иметься,дастархан,руки,гость,мыть,V,S,S,V,V-S,S-V,конечность
собственный,вытянутый,руку,.,.,A,A,.,.,A-A,.-.,конечность
вы,с,руки,.,.,SPRO,S,.,.,SPRO-S,.-.,конечность
я,за,руку,назад,к,SPRO,PR,ADV,S,SPRO-PR,ADV-S,конечность
билет,с,рук,стоять,дешево,S,S,V,ADV,S-S,V-ADV,владение
он,с,рук,на,южный,SPRO,S,PR,A,SPRO-S,PR-A,владение
да,все,руки,не,доходить,PART,SPRO,PART,V,PART-SPRO,PART-V,орудие
газета,из,рук,в,рука,S,PR,S,S,S-PR,S-S,владение
по-пролетарски,мозолистый,рука,у,сын,ADV,A,PR,S,ADV-A,PR-S,конечность
сработанный,русский,руками,.,.,A,S,.,.,A-S,.-.,орудие
погибать,на,руках,свой,приемный,V,PR,APRO,A,V-PR,APRO-A,конечность
для,левый,руки,важный,деталь,PR,A,A,S,PR-A,A-S,конечность
что,только,рукой,они,не,SPRO,PART,SPRO,PART,SPRO-PART,SPRO-PART,конечность
машина,в,руках,чересчур,усердный,S,S,ADV,A,S-S,ADV-A,власть
когда,под,рукой,ничего,нет,ADVPRO,PR,ADV,PART,ADVPRO-PR,ADV-PART,недалеко
что,отмывать,руки,кошка,умываться,SPRO,V,S,V,SPRO-V,S-V,конечность
просто,подымать,руку,.,.,PART,V,.,.,PART-V,.-.,конечность
натягивать,на,руки,когда,человек,V,PR,ADVPRO,S,V-PR,ADVPRO-S,конечность
лишний,напряжение,руки,свободный,внизу,A,S,A,ADV,A-S,A-ADV,конечность
